n,area_type,y,value
Bhutan,large_city,2083,0.484
Bhutan,large_city,2084,0.484
Bhutan,large_city,2085,0.484
Bhutan,large_city,2086,0.484
Bhutan,large_city,2087,0.484
Bhutan,large_city,2088,0.484
Bhutan,large_city,2089,0.484
Bhutan,large_city,2090,0.484
Bhutan,large_city,2091,0.484
Bhutan,large_city,2092,0.484
Bhutan,large_city,2093,0.484
Bhutan,large_city,2094,0.484
Bhutan,large_city,2095,0.484
Bhutan,large_city,2096,0.484
Bhutan,large_city,2097,0.484
Bhutan,large_city,2098,0.484
Bhutan,large_city,2099,0.484
Bhutan,large_city,2100,0.484
Bhutan,town,2011,0.256
Bhutan,town,2012,0.2546842105263158
Bhutan,town,2013,0.2533684210526316
Bhutan,town,2014,0.25205263157894736
Bhutan,town,2015,0.25073684210526315
Bhutan,town,2016,0.24942105263157896
